state,stabbrs,year,sex,Census_Region,Census_Division,LE,race
Alabama,AL,1969,Female,South,East South Central,75.75853356,white
Alabama,AL,1969,Male,South,East South Central,66.60871331,white
Alabama,AL,1970,Female,South,East South Central,75.8951806,white
Alabama,AL,1970,Male,South,East South Central,66.74232404,white
Alabama,AL,1971,Female,South,East South Central,76.15512133,white
Alabama,AL,1971,Male,South,East South Central,66.89218937,white
Alabama,AL,1972,Female,South,East South Central,76.32143878,white
Alabama,AL,1972,Male,South,East South Central,67.02547641,white
Alabama,AL,1973,Female,South,East South Central,76.44783125,white
Alabama,AL,1973,Male,South,East South Central,67.15409431,white
Alabama,AL,1974,Female,South,East South Central,76.7904906,white
Alabama,AL,1974,Male,South,East South Central,67.55659008,white
Alabama,AL,1975,Female,South,East South Central,77.29688698,white
Alabama,AL,1975,Male,South,East South Central,68.1442643,white
Alabama,AL,1976,Female,South,East South Central,77.55473393,white
Alabama,AL,1976,Male,South,East South Central,68.44788443,white
Alabama,AL,1977,Female,South,East South Central,77.85268541,white
Alabama,AL,1977,Male,South,East South Central,68.67268019,white
Alabama,AL,1978,Female,South,East South Central,78.05702294,white
Alabama,AL,1978,Male,South,East South Central,69.05320883,white
Alabama,AL,1979,Female,South,East South Central,78.24542243,white
Alabama,AL,1979,Male,South,East South Central,69.37809905,white
Alabama,AL,1980,Female,South,East South Central,78.33320886,white
Alabama,AL,1980,Male,South,East South Central,69.71024345,white
Alabama,AL,1981,Female,South,East South Central,78.42695964,white
Alabama,AL,1981,Male,South,East South Central,69.99901109,white
Alabama,AL,1982,Female,South,East South Central,78.56469008,white
Alabama,AL,1982,Male,South,East South Central,70.26289418,white
Alabama,AL,1983,Female,South,East South Central,78.6409215,white
Alabama,AL,1983,Male,South,East South Central,70.46987769,white
Alabama,AL,1984,Female,South,East South Central,78.55517573,white
Alabama,AL,1984,Male,South,East South Central,70.58464955,white
Alabama,AL,1985,Female,South,East South Central,78.50160681,white
